timestamp	event	inv-nr	comment
2019-05-08T20:33:03	MSG	-	File opened on nils by clapperboard-webserver.py
2019-05-08T20:33:14	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:33:14	MSG	-	Hello from javascript
2019-05-08T20:33:28	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:33:29	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:33:29	MSG	-	Hello from javascript
2019-05-08T20:35:22	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:35:23	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:35:23	MSG	-	Hello from javascript
2019-05-08T20:38:18	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:38:19	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:38:19	MSG	-	Hello from javascript
2019-05-08T20:40:10	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:40:24	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:40:24	MSG	-	Hello from javascript
2019-05-08T20:40:42	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:40:42	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:40:42	MSG	-	Hello from javascript
2019-05-08T20:42:15	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:42:32	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:42:32	MSG	-	Hello from javascript
2019-05-08T20:43:35	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:43:36	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:43:36	MSG	-	Hello from javascript
2019-05-08T20:43:46	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:43:47	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:43:47	MSG	-	Hello from javascript
2019-05-08T20:43:53	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:43:54	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:43:54	MSG	-	Hello from javascript
2019-05-08T20:57:56	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T20:58:11	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T20:58:11	MSG	-	Hello from javascript
2019-05-08T20:58:23	START	123	from Clapperboard
2019-05-08T21:01:47	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:01:48	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:01:48	MSG	-	Hello from javascript
2019-05-08T21:02:15	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:02:16	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:02:16	MSG	-	Hello from javascript
2019-05-08T21:02:57	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:02:58	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:02:58	MSG	-	Hello from javascript
2019-05-08T21:03:42	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:03:43	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:03:43	MSG	-	Hello from javascript
2019-05-08T21:04:41	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:04:41	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:04:41	MSG	-	Hello from javascript
2019-05-08T21:04:45	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:04:46	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:04:46	MSG	-	Hello from javascript
2019-05-08T21:05:45	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:05:45	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:05:45	MSG	-	Hello from javascript
2019-05-08T21:05:50	START	182	from Clapperboard
2019-05-08T21:06:54	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:06:55	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:06:55	MSG	-	Hello from javascript
2019-05-08T21:08:41	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:08:42	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:08:42	MSG	-	Hello from javascript
2019-05-08T21:10:02	START	182	from Clapperboard
2019-05-08T21:10:04	START	999	from Clapperboard
2019-05-08T21:10:06	START	817	from Clapperboard
2019-05-08T21:10:26	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:10:27	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:10:27	MSG	-	Hello from javascript
2019-05-08T21:10:33	START	888	from Clapperboard
2019-05-08T21:11:17	MSG	-	Websocket client 127.0.0.1 disconnected
2019-05-08T21:11:18	MSG	-	Websocket client 127.0.0.1 connected
2019-05-08T21:11:18	MSG	-	Hello from javascript
2019-05-08T21:11:23	START	182	from Clapperboard
2019-05-08T21:11:35	START	883	from Clapperboard
2019-05-08T21:11:37	START	192	from Clapperboard
2019-05-08T21:11:39	START	138	from Clapperboard
2019-05-08T21:11:41	START	812	from Clapperboard
2019-05-08T21:11:43	START	884	from Clapperboard
2019-05-08T21:11:44	START	123	from Clapperboard
